"Abcg2"	"Bmi1"	"Cd34"	"Cd44"	"Ctnnb1"	"Epas1"	"Ezh2"	"Hif1a"	"Kdm5b"	"Klf4"	"Lgr5"	"Myc"	"Nanog"	"Nes"	"Notch1"	"Pou5f1"	"Prom1"	"Sox2"	"Twist1"	"Zfp42"	"Zscan4c"
"X1110065P20Rik"	-0.06	-0.31	-0.25	-0.15	0.07	-0.24	-0.18	-0.31	0.07	0.07	-0.15	-0.11	0.16	-0.04	-0.01	0.23	0.05	-0.04	-0.26	0.02	-0.26
"X1190002N15Rik"	0.1	-0.11	-0.41	0.18	-0.2	-0.65	-0.24	-0.45	-0.34	0.44	-0.38	-0.59	0.58	0.04	0.37	-0.02	0.44	0.54	-0.34	0.6	-0.29
"X1190005I06Rik"	-0.09	0.04	-0.15	-0.23	-0.14	-0.08	0.29	0.25	-0.09	-0.29	-0.18	-0.09	-0.15	0.15	0.11	0.14	0.04	-0.15	-0.19	0.07	-0.07
"X1190007I07Rik"	0	-0.11	0.03	-0.03	0.11	-0.18	0.28	0.18	-0.04	-0.26	-0.01	0	-0.12	-0.2	-0.43	0.22	0.22	-0.17	-0.11	-0.29	-0.29
"X1300002E11Rik"	0.02	-0.01	-0.42	0.27	-0.26	-0.62	-0.46	-0.62	-0.28	0.67	-0.45	-0.66	0.75	-0.09	0.53	-0.22	0.21	0.67	-0.28	0.71	-0.11
"X1300017J02Rik"	-0.08	0.12	0.33	-0.04	0.25	0.5	0.32	0.43	-0.06	-0.35	0.2	0.51	-0.56	-0.08	-0.26	0.03	-0.38	-0.47	0.21	-0.48	0.16
"X1500009C09Rik"	-0.11	-0.15	-0.23	0.31	-0.15	-0.49	-0.47	-0.6	-0.17	0.56	-0.31	-0.51	0.64	0.04	0.31	-0.12	0.06	0.46	-0.18	0.55	0
"X1500009L16Rik"	-0.3	0.46	0.54	0.38	0.24	0.22	-0.07	0.03	-0.27	0.05	0.23	0.07	-0.23	0.28	-0.03	-0.37	-0.02	-0.04	0.61	-0.2	0.48
"X1500011B03Rik"	-0.15	-0.06	0.39	0	0.39	0.46	0.34	0.44	0.07	-0.56	0.31	0.57	-0.68	-0.24	-0.57	0.26	-0.1	-0.5	0.11	-0.63	-0.09
"X1500011K16Rik"	0.08	-0.21	-0.28	-0.26	-0.24	-0.14	0.51	0.14	0.05	-0.3	-0.17	-0.1	-0.09	0	-0.26	0.09	0.01	-0.18	-0.34	-0.19	-0.32
"X1500015O10Rik"	0	0.21	0.42	0.02	0.17	0.27	0.18	0.32	0.01	-0.29	0.29	0.37	-0.39	0.03	-0.38	-0.05	-0.04	-0.45	0.45	-0.47	0.23
"X1600002H07Rik"	0.03	-0.29	-0.4	-0.04	-0.1	-0.32	-0.39	-0.48	-0.02	0.41	-0.26	-0.3	0.41	-0.17	0.32	0	-0.11	0.29	-0.4	0.31	-0.21
"X1600002K03Rik"	-0.21	-0.22	-0.25	-0.13	-0.06	-0.37	-0.12	-0.13	-0.18	0.05	-0.24	-0.3	0.23	0.01	0.2	0.28	0.26	0.17	-0.38	0.34	-0.27
"X1600012H06Rik"	0.12	0.14	0.18	0.1	0.12	0.2	0.17	0.16	-0.01	-0.06	0.2	0.17	-0.16	-0.29	-0.19	0.05	-0.16	-0.1	0.04	-0.17	-0.06
"X1600014C10Rik"	-0.32	-0.06	0.11	0.19	0.46	-0.06	-0.15	-0.12	-0.02	0.06	0.04	-0.11	-0.03	0.05	0.04	0.11	0.03	-0.04	-0.04	-0.09	0.04
"X1700001L05Rik"	-0.03	0.03	0.26	-0.15	0.3	0.32	-0.05	0.09	0.34	-0.14	0.32	0.32	-0.31	-0.09	-0.28	0.08	-0.1	-0.18	0.27	-0.41	0.15
"X1700001O22Rik"	0	-0.18	-0.48	-0.04	-0.39	-0.46	-0.35	-0.59	-0.24	0.44	-0.41	-0.52	0.64	0.13	0.48	-0.22	0.18	0.5	-0.31	0.63	-0.06
"X1700001P01Rik"	-0.28	0.12	0.08	0.6	0.21	-0.13	-0.14	-0.16	-0.17	0.15	-0.06	-0.12	0.06	-0.01	0.19	-0.09	-0.09	0.08	-0.04	0.11	0.02
"X1700003M07Rik"	-0.22	0.25	0.07	0.52	0.18	-0.11	-0.21	-0.17	-0.21	0.24	-0.09	-0.25	0.09	0.27	0.29	-0.06	-0.09	0.2	-0.01	0.17	0.16
"X1700007K13Rik"	-0.26	0.13	-0.02	0.61	0.2	-0.27	-0.43	-0.41	-0.46	0.58	-0.17	-0.38	0.33	0.06	0.49	-0.19	-0.05	0.42	-0.03	0.36	0.05
"X1700007L15Rik"	0.09	0.07	0.27	-0.07	0.11	0.35	0.43	0.39	0.11	-0.5	0.24	0.4	-0.51	-0.02	-0.46	0.11	-0.11	-0.44	0.18	-0.52	0.06
"X1700008O03Rik"	-0.03	-0.02	-0.27	0.23	-0.18	-0.32	-0.51	-0.7	-0.14	0.53	-0.22	-0.4	0.53	-0.01	0.33	-0.3	-0.05	0.5	-0.1	0.47	0.05
"X1700010I14Rik"	0.03	-0.09	-0.14	0.09	-0.08	-0.04	-0.11	-0.24	-0.06	0.09	-0.03	-0.08	0.05	-0.22	0.07	-0.06	-0.03	0.16	-0.21	0.06	-0.18
"X1700012C14Rik"	0.03	0.18	0.28	-0.12	0.19	0.47	0.46	0.54	0.09	-0.54	0.23	0.49	-0.62	-0.03	-0.41	-0.02	-0.23	-0.52	0.19	-0.59	0.07
"X1700013H16Rik"	-0.36	0.23	0.2	0.51	0.17	-0.14	-0.09	-0.19	-0.52	0.18	-0.08	-0.18	0.06	0.12	0.2	-0.21	0.24	0.05	0.12	0.03	0.22
"X1700016D06Rik"	-0.06	-0.06	-0.38	-0.05	-0.2	-0.37	-0.39	-0.43	0.12	0.63	-0.3	-0.49	0.62	0.19	0.55	-0.11	-0.03	0.56	-0.28	0.56	-0.09
"X1700016H13Rik"	-0.12	0.04	0.02	0.12	0.04	0.02	0.26	0.15	-0.13	-0.23	0.04	0.03	-0.24	-0.01	-0.13	0.07	0.05	-0.18	-0.05	-0.17	-0.07
"X1700017B05Rik"	-0.28	0.26	0.57	0.05	0.47	0.58	0.18	0.48	0.11	-0.34	0.51	0.57	-0.65	0.12	-0.26	0.08	-0.3	-0.71	0.47	-0.68	0.28
"X1700017J07Rik"	0.03	-0.22	-0.26	-0.03	-0.12	-0.19	-0.31	-0.22	0.04	0.29	-0.11	-0.18	0.29	-0.16	0.32	0.03	0	0.27	-0.21	0.29	-0.2
"X1700018B08Rik"	-0.12	0.2	0.05	-0.07	-0.06	0.17	0.29	0.11	-0.2	-0.22	-0.06	0.12	-0.24	0.11	-0.03	-0.19	-0.03	-0.21	0.06	-0.14	0.14
"X1700018B24Rik"	-0.37	0.52	0.42	0.37	0.04	-0.1	0.13	0.01	-0.43	-0.06	0.12	-0.08	-0.11	0.31	-0.01	-0.22	0.37	-0.23	0.41	-0.08	0.43
"X1700019A02Rik"	-0.21	0.3	0.26	-0.03	0.23	0.2	0.49	0.55	0.03	-0.48	0.12	0.22	-0.53	0.17	-0.26	0.14	-0.13	-0.52	0.1	-0.47	0.07
"X1700019D03Rik"	0.08	-0.05	0.2	-0.17	0.34	0.56	-0.03	0.34	0.31	-0.11	0.28	0.49	-0.33	-0.16	-0.2	0.19	-0.45	-0.07	0.12	-0.24	0.09
"X1700020D05Rik"	-0.09	0.08	0.01	0.06	0.02	0.07	-0.23	-0.12	-0.01	0.27	-0.03	0.01	0.1	-0.07	0.23	-0.16	-0.3	0.13	0.07	0.1	0.17
"X1700020I14Rik"	0.11	0	-0.04	-0.06	-0.07	0.29	-0.11	0.22	0.17	0.09	0.06	0.15	-0.05	-0.16	0.13	-0.19	-0.38	0.17	-0.02	-0.03	-0.02
"X1700020N01Rik"	-0.13	-0.03	0.09	-0.1	0.19	0	0.3	0.19	0.24	-0.41	0.13	0.09	-0.3	0	-0.36	0.19	0.03	-0.35	-0.02	-0.36	-0.07
