"Abcg2"	"Bmi1"	"Cd34"	"Cd44"	"Ctnnb1"	"Epas1"	"Ezh2"	"Hif1a"	"Kdm5b"	"Klf4"	"Lgr5"	"Myc"	"Nanog"	"Nes"	"Notch1"	"Pou5f1"	"Prom1"	"Sox2"	"Twist1"	"Zfp42"	"Zscan4c"
"Dars"	0	-0.24	-0.38	0.03	-0.2	-0.43	-0.19	-0.38	-0.27	0.37	-0.39	-0.5	0.51	-0.04	0.31	-0.1	0.27	0.55	-0.34	0.47	-0.12
"Dars2"	0.14	-0.08	0.17	-0.28	0.15	0.31	0.61	0.55	0.15	-0.7	0.18	0.42	-0.6	-0.01	-0.53	0.24	0.04	-0.58	0	-0.6	-0.1
"Daxx"	0.13	-0.15	0.17	-0.35	0.33	0.71	0.5	0.69	0.43	-0.61	0.34	0.76	-0.71	-0.13	-0.39	0.52	-0.48	-0.56	-0.1	-0.53	-0.22
"Dazap1"	0.01	-0.1	-0.28	-0.22	-0.33	-0.34	0.4	-0.01	-0.15	-0.22	-0.25	-0.25	0.09	0.07	-0.08	0.06	0.31	0.05	-0.26	0.16	-0.25
"Dazap2"	0.12	-0.37	-0.62	-0.16	-0.24	-0.61	-0.28	-0.41	0.15	0.34	-0.44	-0.61	0.62	0.09	0.35	0.02	0.27	0.49	-0.52	0.52	-0.33
"Dazl"	-0.41	0.46	0.4	0.35	0.17	0.13	-0.1	-0.01	-0.18	0.07	0.12	0.05	-0.08	0.14	0	-0.27	-0.06	-0.12	0.48	-0.13	0.54
"Dbf4"	0.44	-0.14	0.01	-0.39	-0.06	0.48	0.69	0.6	0.29	-0.53	0.13	0.49	-0.49	-0.18	-0.51	0.22	-0.31	-0.22	-0.14	-0.38	-0.31
"Dbi"	0.11	0.32	0.03	0.1	-0.23	-0.1	0.43	0.06	-0.41	-0.04	-0.14	-0.18	0.03	0.15	-0.14	-0.4	0.14	0	0.12	0.02	0.05
"Dbil5"	-0.01	-0.07	-0.09	0.01	0.01	-0.03	0.12	0.01	0.01	0.03	-0.08	-0.03	0.03	0.06	0.09	0.09	-0.12	0.06	-0.19	0.12	-0.09
"Dbn1"	-0.17	0.19	0.58	-0.07	0.35	0.47	0.49	0.7	0.16	-0.66	0.48	0.6	-0.81	-0.04	-0.6	0.2	-0.08	-0.81	0.39	-0.86	0.09
"Dbndd1"	-0.08	0.41	0.5	-0.03	0.12	0.41	0.36	0.45	-0.09	-0.41	0.32	0.47	-0.54	0.12	-0.38	-0.16	-0.06	-0.58	0.53	-0.54	0.38
"Dbnl"	-0.24	-0.03	0.02	0.24	0.3	-0.08	-0.12	-0.18	-0.23	0.15	-0.06	-0.1	0.07	-0.03	0.27	0.33	0.09	0.09	-0.17	0.24	-0.08
"Dbp"	0.05	-0.27	-0.24	-0.16	0.06	-0.24	-0.1	-0.02	0.33	0.16	-0.03	-0.14	0.2	-0.17	0.09	0.35	-0.08	0.15	-0.26	0.05	-0.29
"Dbr1"	-0.18	0.17	0.33	-0.15	0.14	0.12	0.58	0.55	-0.07	-0.6	0.15	0.3	-0.52	0.02	-0.45	0.3	0.14	-0.55	0.14	-0.42	0.1
"Dbt"	0.09	-0.15	-0.24	-0.02	0.02	0	0.07	0.01	0.09	0.17	-0.17	-0.1	0.14	-0.17	0.1	0.14	-0.25	0.34	-0.35	0.2	-0.26
"Dbx2"	-0.32	0.49	0.59	0.2	0.23	0.19	0.2	0.26	-0.14	-0.25	0.34	0.18	-0.43	0.2	-0.28	-0.14	0.17	-0.43	0.62	-0.5	0.41
"Dcaf10"	-0.05	0.13	-0.11	0.09	-0.18	0.05	-0.38	-0.31	-0.23	0.34	-0.08	-0.06	0.22	0.04	0.33	-0.41	-0.21	0.24	0.03	0.22	0.11
"Dcaf11"	0.17	-0.46	-0.57	-0.14	-0.2	-0.44	-0.08	-0.23	0.13	0.24	-0.41	-0.39	0.43	-0.17	0.26	0.33	0.07	0.38	-0.66	0.43	-0.5
"Dcaf12"	0.03	-0.45	-0.4	-0.11	0	-0.12	-0.48	-0.44	0	0.34	-0.33	-0.18	0.43	-0.12	0.43	0.08	0.12	0.47	-0.41	0.49	-0.14
"Dcaf12l1"	-0.1	0.53	0.44	0.1	-0.07	0.1	-0.25	-0.09	-0.25	0.21	0.15	0.06	0.06	0.32	0.02	-0.36	0.1	-0.02	0.64	0.06	0.61
"Dcaf13"	-0.07	-0.06	0.17	-0.17	0.15	0	0.5	0.41	0.07	-0.54	0.13	0.15	-0.39	-0.04	-0.53	0.35	0.25	-0.34	-0.05	-0.34	-0.18
"Dcaf15"	-0.11	0.16	-0.03	-0.19	-0.09	0.05	0.38	0.37	0	-0.37	-0.07	0.15	-0.22	0.14	0.03	0.14	-0.13	-0.37	-0.08	-0.02	0
"Dcaf17"	0.02	-0.27	-0.27	-0.07	-0.09	-0.29	-0.18	-0.15	0.23	-0.02	-0.12	-0.3	0.16	-0.06	0.03	0	0.18	0.29	-0.3	0.07	-0.18
"Dcaf4"	-0.18	0.08	0.16	0.28	0.4	0.17	0.37	0.42	-0.01	-0.33	0.09	0.13	-0.47	0.03	-0.12	0.07	-0.2	-0.43	-0.01	-0.52	-0.05
"Dcaf5"	0.02	-0.07	-0.18	0.09	-0.07	-0.12	-0.2	-0.32	0.03	0.34	-0.15	-0.18	0.25	-0.02	0.07	-0.27	-0.07	0.09	0.04	0.03	0.11
"Dcaf6"	0.1	-0.06	-0.5	-0.06	-0.5	-0.55	-0.45	-0.57	-0.03	0.54	-0.39	-0.68	0.77	0.2	0.43	-0.3	0.23	0.63	-0.23	0.71	-0.01
"Dcaf7"	0.03	-0.32	-0.25	0.06	0.24	-0.09	-0.5	-0.45	0.24	0.41	-0.14	-0.15	0.35	-0.07	0.43	0.11	-0.11	0.37	-0.28	0.39	-0.17
"Dcaf8"	0.05	-0.16	0.13	0	0.35	0.4	0.33	0.27	0.16	-0.36	0.1	0.36	-0.47	-0.01	-0.34	0.2	-0.14	-0.29	-0.04	-0.51	-0.09
"Dcakd"	-0.07	-0.11	-0.01	-0.16	0.2	-0.14	-0.19	-0.16	0.19	0.01	0	-0.04	0.08	0.18	0.15	0.15	0.26	-0.08	0.05	0.02	-0.06
"Dcbld1"	-0.07	-0.01	-0.33	0.16	-0.34	-0.58	-0.61	-0.69	-0.23	0.75	-0.37	-0.68	0.8	0.17	0.62	-0.27	0.24	0.7	-0.11	0.8	0.18
"Dcbld2"	-0.06	0.08	-0.16	-0.01	-0.28	-0.17	-0.3	-0.35	-0.11	0.49	-0.13	-0.28	0.43	0.16	0.21	-0.54	-0.13	0.17	0.12	0.2	0.13
"Dcc"	-0.29	0.61	0.62	0.38	0.04	0.09	-0.18	-0.01	-0.34	0.03	0.26	0.06	-0.11	0.22	0.01	-0.37	0.14	-0.14	0.67	-0.1	0.89
"Dcdc2a"	-0.36	0.44	0.31	0.15	-0.01	-0.06	-0.07	-0.03	-0.24	0.09	0.2	-0.09	-0.02	0.18	0.12	-0.22	0.09	-0.03	0.46	0	0.3
"Dchs1"	-0.17	0.56	0.75	0.13	0.17	0.33	0.02	0.26	-0.13	-0.24	0.55	0.4	-0.42	0.18	-0.31	-0.2	0.16	-0.47	0.88	-0.46	0.57
"Dchs2"	-0.1	0.44	0.7	0.09	0.19	0.43	0.02	0.28	-0.04	-0.23	0.47	0.45	-0.42	0.06	-0.31	-0.09	0.06	-0.36	0.74	-0.41	0.53
"Dck"	-0.14	-0.14	-0.18	0.39	0.02	-0.55	-0.12	-0.25	-0.22	0.24	-0.27	-0.47	0.37	-0.04	0.21	0.1	0.29	0.37	-0.3	0.4	-0.21
"Dclk1"	-0.19	0.15	0.3	0.25	0.21	-0.11	0.06	0.2	0.08	-0.28	0.29	-0.04	-0.27	0.09	-0.25	0.18	0.25	-0.28	0.21	-0.33	0.14
"Dclk2"	0.14	-0.28	-0.38	-0.36	-0.33	-0.07	-0.01	-0.04	0.05	0.1	-0.18	-0.15	0.18	0.18	0.26	-0.19	-0.01	0.18	-0.22	0.09	-0.16
"Dclk3"	0.01	-0.18	-0.39	0.11	-0.16	-0.56	-0.61	-0.72	0.09	0.74	-0.37	-0.63	0.78	0.04	0.32	-0.14	0.01	0.66	-0.24	0.55	0.03
"Dclre1a"	0.13	-0.29	-0.49	-0.01	-0.17	-0.43	-0.32	-0.35	-0.02	0.43	-0.34	-0.45	0.51	-0.01	0.52	0.03	0.14	0.51	-0.45	0.49	-0.31
"Dclre1b"	0.16	0.05	0.05	-0.12	0.21	0.23	0.11	0.07	0.16	-0.03	0.11	0.18	-0.13	-0.02	0.02	0.21	-0.11	0.07	0	-0.1	-0.06
"Dclre1c"	-0.03	-0.22	-0.47	0.16	-0.17	-0.42	-0.42	-0.55	-0.1	0.55	-0.36	-0.51	0.55	0	0.61	-0.2	0.03	0.6	-0.4	0.54	-0.23
"Dcn"	-0.35	0.2	0.42	0.04	0.4	0.18	0.44	0.56	0.13	-0.53	0.24	0.31	-0.63	-0.01	-0.42	0.19	-0.05	-0.69	0.15	-0.69	0.02
"Dcp1a"	0.06	-0.25	-0.09	-0.25	0.21	0.32	-0.12	0.11	0.13	-0.03	0.01	0.34	-0.16	-0.23	0.1	0.14	-0.22	-0.03	-0.21	-0.11	-0.26
"Dcp1b"	0.34	-0.19	-0.5	-0.05	-0.39	-0.52	-0.32	-0.57	-0.04	0.44	-0.34	-0.56	0.68	0.04	0.28	-0.17	0.36	0.61	-0.3	0.52	-0.26
"Dcp2"	-0.01	-0.22	-0.35	0.03	-0.05	-0.43	-0.63	-0.53	0.23	0.65	-0.19	-0.49	0.63	-0.03	0.36	-0.01	-0.05	0.58	-0.25	0.5	-0.13
"Dcps"	0.02	-0.33	-0.51	-0.24	-0.2	-0.52	0.05	-0.21	-0.02	0.11	-0.42	-0.47	0.37	0.11	0.25	0.27	0.35	0.24	-0.55	0.36	-0.41
"Dcstamp"	-0.18	-0.04	-0.31	0.13	-0.25	-0.39	-0.27	-0.37	-0.07	0.34	-0.28	-0.43	0.5	0.18	0.47	-0.13	0.11	0.33	-0.23	0.52	-0.01
"Dctd"	-0.09	0.3	0.12	-0.17	-0.13	0.16	0.51	0.55	-0.12	-0.52	0.04	0.22	-0.39	0.18	-0.11	0.06	0.01	-0.44	0.06	-0.17	0.03
"Dctn1"	-0.01	0.13	-0.21	0.35	-0.11	-0.43	-0.3	-0.56	-0.35	0.55	-0.31	-0.47	0.58	0.11	0.53	-0.13	0.13	0.46	-0.09	0.64	0.06
"Dctn2"	0.09	-0.3	-0.54	0.12	-0.26	-0.73	-0.56	-0.76	-0.13	0.61	-0.48	-0.72	0.84	-0.05	0.47	0.07	0.35	0.75	-0.45	0.8	-0.19
"Dctn3"	-0.15	-0.16	-0.02	-0.14	0.05	-0.04	0.33	0.21	0.04	-0.29	-0.01	0.03	-0.18	-0.13	-0.22	0.27	0.06	-0.17	-0.19	-0.12	-0.29
"Dctn4"	0.14	-0.32	-0.61	0.1	-0.13	-0.64	-0.42	-0.51	0.09	0.5	-0.43	-0.64	0.68	-0.05	0.42	0.03	0.15	0.6	-0.56	0.56	-0.4
"Dctn5"	0.14	-0.19	-0.46	0.08	-0.25	-0.56	-0.1	-0.37	-0.18	0.26	-0.4	-0.53	0.5	-0.11	0.22	-0.02	0.29	0.47	-0.51	0.5	-0.38
"Dctn6"	0.08	0.1	-0.44	-0.11	-0.57	-0.54	0.21	-0.09	-0.15	0.08	-0.44	-0.54	0.44	0.17	0.23	-0.24	0.2	0.28	-0.3	0.48	-0.18
"Dctpp1"	0.02	-0.13	-0.01	-0.28	0.05	-0.06	0.59	0.34	0.12	-0.53	-0.01	0.1	-0.32	0.04	-0.34	0.4	0.24	-0.38	-0.16	-0.31	-0.23
"Dcun1d1"	0.27	0.29	-0.11	-0.21	-0.36	0.03	0.38	0.33	-0.05	-0.17	-0.18	-0.01	-0.04	0.03	-0.07	-0.38	-0.09	0.08	0.03	0	-0.08
"Dcun1d2"	-0.18	0.41	0.06	0.18	-0.3	-0.35	0.1	-0.1	-0.49	0.13	-0.11	-0.32	0.24	0.22	0.18	-0.24	0.33	-0.01	0.19	0.29	0.15
"Dcun1d3"	-0.09	0.07	-0.26	0.44	-0.2	-0.51	-0.51	-0.52	-0.26	0.6	-0.34	-0.61	0.64	0.03	0.57	-0.21	0.16	0.65	-0.19	0.67	-0.01
"Dcun1d4"	0.14	-0.21	-0.09	-0.14	-0.02	-0.32	0.01	-0.08	0.33	-0.07	-0.06	-0.21	0.12	0	-0.21	0.22	0.39	0.14	-0.18	-0.01	-0.28
"Dcun1d5"	0	0.04	0.15	-0.11	0.02	-0.02	0.66	0.47	-0.16	-0.56	0.04	0.13	-0.38	-0.01	-0.5	0.27	0.32	-0.37	-0.02	-0.33	-0.19
"Dcx"	-0.26	0.14	0.47	0.22	0.34	0.23	0.24	0.51	0.12	-0.45	0.42	0.36	-0.55	-0.09	-0.39	0.26	-0.01	-0.57	0.23	-0.58	0.11
"Dcxr"	-0.25	0.17	0.12	0.78	0.38	-0.14	-0.32	-0.26	-0.3	0.37	-0.03	-0.19	0.11	-0.07	0.23	-0.02	-0.13	0.17	0	0.1	0.06
"Dda1"	-0.23	0.26	0.33	-0.14	0.12	0.31	0.41	0.57	-0.05	-0.5	0.21	0.44	-0.49	0.1	-0.17	0.27	-0.11	-0.59	0.21	-0.29	0.16
"Ddah1"	-0.28	0.15	-0.13	0.35	-0.19	-0.39	-0.47	-0.56	-0.41	0.66	-0.2	-0.5	0.53	0.26	0.57	-0.36	0.03	0.43	0.03	0.49	0.18
"Ddah2"	-0.1	-0.31	-0.45	0.02	-0.23	-0.65	-0.43	-0.57	-0.04	0.63	-0.37	-0.69	0.72	0.09	0.56	-0.02	0.31	0.5	-0.31	0.58	-0.11
"Ddb1"	-0.3	-0.16	-0.16	0.42	0.19	-0.54	-0.57	-0.54	-0.14	0.5	-0.21	-0.49	0.48	-0.07	0.46	0.14	0.27	0.38	-0.2	0.39	-0.05
"Ddb2"	0.12	-0.1	-0.21	0.11	-0.14	-0.1	-0.09	-0.14	-0.1	0.28	-0.16	-0.17	0.15	-0.07	0.15	-0.33	-0.17	0.19	-0.15	-0.03	-0.07
"Ddc"	0.19	-0.1	-0.21	-0.31	0.04	0.3	0.01	-0.04	0.16	0.09	-0.15	0.23	0.04	-0.18	0.14	0.03	-0.37	0.08	-0.18	0.14	-0.2
"Ddhd1"	-0.16	0.22	-0.18	0.29	-0.37	-0.58	-0.57	-0.67	-0.25	0.74	-0.27	-0.69	0.77	0.26	0.49	-0.55	0.21	0.58	0.18	0.59	0.31
"Ddhd2"	-0.19	0.3	0.17	-0.02	-0.04	0.26	0.18	0.21	-0.24	-0.26	0.06	0.25	-0.26	-0.1	0.07	-0.1	-0.17	-0.15	0.08	0	0.11
"Ddi2"	-0.06	-0.07	-0.15	-0.1	-0.11	-0.07	-0.2	-0.23	-0.1	0.06	-0.07	0	0.13	-0.18	0.1	-0.14	-0.06	0.09	-0.15	0.17	-0.07
"Ddias"	-0.06	0.26	-0.05	0.32	0	-0.2	-0.41	-0.25	-0.12	0.44	-0.1	-0.4	0.33	0.16	0.45	-0.36	-0.04	0.47	0.07	0.33	0.18
"Ddit3"	0.15	-0.16	-0.19	-0.13	-0.2	0.17	0.05	-0.06	0.04	0.01	0.02	0.11	-0.04	-0.1	-0.12	-0.13	-0.3	0.02	-0.14	-0.09	-0.13
"Ddit4"	-0.16	0.23	0.48	0.31	0.45	0.45	0.53	0.56	-0.09	-0.47	0.39	0.42	-0.71	0.03	-0.42	0.12	-0.2	-0.55	0.26	-0.72	0.01
"Ddit4l"	-0.31	0.39	0.35	0.78	0.29	-0.12	-0.25	-0.15	-0.49	0.22	0.02	-0.19	0	0.13	0.22	-0.18	0.11	0.11	0.25	0.02	0.35
"Ddost"	0.12	-0.19	-0.35	-0.1	-0.19	-0.42	-0.42	-0.54	0.12	0.51	-0.23	-0.4	0.64	0.04	0.39	0.09	0.17	0.34	-0.2	0.55	-0.11
"Ddr1"	-0.22	0.18	0.5	0.03	0.52	0.49	0.48	0.65	0.2	-0.62	0.43	0.53	-0.81	0.07	-0.47	0.3	-0.23	-0.76	0.23	-0.8	0.06
"Ddr2"	-0.23	0.39	0.13	0.11	-0.08	-0.08	-0.1	-0.11	-0.05	0.14	0.04	-0.16	0.15	0.23	0.17	-0.22	-0.03	0.08	0.26	0.18	0.36
"Ddrgk1"	-0.14	0.02	-0.15	0.26	-0.17	-0.44	0.05	-0.4	-0.42	0.15	-0.2	-0.43	0.28	0.13	0.04	-0.09	0.46	0.22	-0.1	0.28	-0.08
"Ddt"	0.1	-0.24	-0.25	-0.09	0.08	-0.17	0.21	0.07	0.02	0	-0.13	-0.14	0.08	-0.16	-0.1	0.18	0	0.08	-0.27	0	-0.34
"Ddx1"	-0.06	-0.1	0.08	-0.09	0.16	-0.07	0.55	0.42	0.01	-0.53	0.04	0.04	-0.36	0.01	-0.45	0.41	0.32	-0.29	-0.15	-0.33	-0.25
"Ddx10"	-0.07	0	0.21	-0.11	0.16	0.06	0.67	0.44	0.01	-0.56	0.13	0.16	-0.45	0	-0.52	0.36	0.23	-0.32	-0.02	-0.35	-0.16
"Ddx11"	0.03	-0.45	-0.35	-0.17	-0.03	0.01	-0.2	-0.33	0.02	0.15	-0.19	-0.02	0.19	-0.26	0.24	0.04	-0.09	0.2	-0.4	0.18	-0.18
"Ddx17"	0.03	-0.26	-0.44	0.06	-0.16	-0.53	-0.55	-0.56	-0.05	0.59	-0.31	-0.59	0.7	0	0.41	0.07	0.28	0.68	-0.36	0.63	-0.23
"Ddx18"	-0.15	0.16	0.33	-0.12	0.17	0.16	0.55	0.53	-0.09	-0.58	0.18	0.3	-0.53	-0.05	-0.5	0.25	0.15	-0.5	0.15	-0.47	-0.04
"Ddx19a"	-0.1	0.13	-0.3	-0.06	-0.38	-0.43	0	-0.11	-0.25	0.14	-0.31	-0.39	0.37	0.21	0.4	-0.08	0.18	0.14	-0.18	0.54	-0.05
"Ddx19b"	-0.05	0.09	0.02	-0.12	-0.07	0.28	0.58	0.47	-0.14	-0.41	-0.07	0.28	-0.41	0.01	-0.16	-0.01	-0.23	-0.33	-0.08	-0.23	-0.06
"Ddx20"	-0.01	0.05	-0.04	-0.04	0.14	-0.23	0.12	0.02	-0.02	-0.08	-0.09	-0.09	0.04	-0.08	0.07	0.32	0.2	0.06	-0.17	0.15	-0.21
"Ddx21"	-0.04	0.05	0.39	-0.23	0.31	0.47	0.61	0.76	0.25	-0.79	0.38	0.63	-0.8	-0.08	-0.57	0.44	-0.1	-0.68	0.11	-0.66	-0.09
"Ddx23"	-0.06	-0.34	-0.15	-0.14	0.15	-0.25	0.07	-0.02	0.21	-0.22	-0.04	-0.1	-0.01	-0.09	-0.12	0.54	0.31	0.02	-0.33	0.03	-0.33
"Ddx24"	0.14	0.02	0.02	0.07	0.16	-0.13	0.18	0.11	0.06	-0.27	0.07	0	-0.13	0.07	-0.2	0.3	0.25	-0.2	-0.12	-0.07	-0.14
"Ddx25"	-0.04	0.47	0.62	0.1	0.07	0.25	0.33	0.34	-0.04	-0.43	0.45	0.36	-0.48	0.04	-0.52	-0.13	0.14	-0.49	0.68	-0.53	0.36
"Ddx27"	-0.04	-0.24	0.07	-0.15	0.1	-0.1	0.28	0.11	0.1	-0.39	0.1	0.12	-0.21	-0.1	-0.34	0.56	0.32	-0.17	-0.14	-0.11	-0.22
"Ddx28"	-0.16	0.1	-0.12	-0.1	-0.09	-0.26	0.25	0.21	-0.12	-0.18	-0.17	-0.14	-0.01	0.17	0.2	0.25	0.15	-0.19	-0.18	0.18	-0.12
"Ddx31"	-0.15	-0.02	-0.1	-0.11	-0.06	-0.24	0.11	-0.13	-0.2	-0.11	-0.12	-0.14	0.01	0.1	0.04	0.03	0.28	-0.14	-0.18	-0.01	-0.18
"Ddx39"	-0.15	0.21	0.12	-0.16	-0.04	0.04	0.59	0.52	-0.14	-0.51	0.02	0.16	-0.38	0.12	-0.12	0.25	0.09	-0.45	-0.02	-0.17	-0.04
"Ddx39b"	-0.05	-0.14	0.34	-0.19	0.47	0.63	0.42	0.65	0.3	-0.67	0.39	0.73	-0.8	-0.23	-0.48	0.49	-0.28	-0.66	0	-0.73	-0.16
"Ddx3x"	0.07	-0.05	0.23	-0.3	0.26	0.52	0.63	0.79	0.33	-0.8	0.31	0.63	-0.76	-0.12	-0.54	0.41	-0.19	-0.64	-0.05	-0.63	-0.18
"Ddx3y"	-0.03	-0.01	-0.07	-0.01	0.01	-0.05	-0.01	0	0.06	-0.04	-0.01	0.02	0.02	-0.06	-0.01	0.09	-0.05	0.09	-0.07	0.09	-0.04
"Ddx4"	-0.03	0.33	0.58	0.16	0.19	0.48	0.37	0.49	0.06	-0.46	0.4	0.54	-0.62	0.03	-0.55	-0.03	-0.16	-0.54	0.55	-0.65	0.4
"Ddx41"	0.11	-0.51	-0.49	-0.11	-0.14	-0.55	-0.1	-0.34	0.02	0.08	-0.29	-0.41	0.37	-0.17	0.09	0.38	0.37	0.23	-0.58	0.29	-0.47
"Ddx42"	-0.13	-0.16	0.02	0.08	0.27	-0.13	0.08	-0.06	0.14	-0.09	-0.04	-0.07	-0.04	-0.05	-0.11	0.29	0.2	0.09	-0.18	0.06	-0.15
"Ddx43"	0.09	0.08	-0.07	-0.1	-0.3	0.13	-0.07	-0.21	-0.04	0.12	-0.04	0.02	0.11	0.13	0.04	-0.37	-0.17	0.15	0.12	0.12	0.16
"Ddx46"	-0.13	-0.16	0.1	-0.14	0.32	0.11	0.36	0.35	0.13	-0.46	0.15	0.26	-0.46	-0.22	-0.37	0.44	0.03	-0.32	-0.21	-0.38	-0.33
"Ddx47"	0.21	-0.1	-0.15	-0.13	-0.13	-0.22	0.34	-0.08	-0.15	0	-0.24	-0.19	0.16	0.04	-0.03	0.11	0.36	0.17	-0.17	0.18	-0.21
"Ddx49"	-0.09	0.1	-0.03	-0.21	-0.2	-0.04	0.33	0.3	-0.03	-0.32	-0.06	0.09	-0.14	0.15	0.02	0.22	-0.02	-0.31	-0.06	0.06	0.06
"Ddx5"	0.03	0.1	0.26	-0.17	0.32	0.46	0.61	0.69	0.19	-0.71	0.23	0.56	-0.7	-0.15	-0.51	0.34	-0.2	-0.5	-0.03	-0.52	-0.15
"Ddx50"	0.13	-0.2	-0.49	-0.01	-0.33	-0.42	-0.09	-0.44	-0.18	0.23	-0.34	-0.46	0.42	0	0.11	-0.14	0.17	0.41	-0.42	0.38	-0.26
"Ddx51"	-0.09	-0.05	-0.01	-0.04	0.23	0.01	-0.06	-0.04	0.07	-0.05	0.04	0.09	-0.11	-0.11	0.06	0.28	0.04	-0.11	-0.18	-0.06	-0.19
"Ddx52"	-0.03	-0.01	0.22	-0.21	0.31	0.28	0.39	0.47	0.24	-0.59	0.19	0.41	-0.5	-0.07	-0.41	0.31	-0.01	-0.39	-0.03	-0.35	-0.14
"Ddx54"	-0.13	-0.12	0.26	-0.3	0.36	0.47	0.39	0.56	0.42	-0.57	0.3	0.6	-0.65	-0.03	-0.36	0.52	-0.27	-0.6	0.04	-0.52	-0.09
"Ddx55"	-0.2	-0.07	0.09	0.18	0.3	-0.13	-0.07	-0.07	0.04	-0.09	0.05	-0.05	-0.06	0.13	0	0.43	0.24	0.01	-0.18	0.03	-0.17
"Ddx56"	-0.15	-0.02	0.37	-0.08	0.53	0.52	0.37	0.6	0.18	-0.62	0.34	0.64	-0.76	-0.2	-0.36	0.5	-0.23	-0.65	0	-0.63	-0.1
"Ddx58"	0.17	-0.27	-0.5	0.04	-0.3	-0.58	-0.38	-0.57	-0.15	0.44	-0.46	-0.59	0.64	-0.04	0.46	0.07	0.33	0.72	-0.48	0.75	-0.23
"Ddx59"	0.17	0.29	-0.02	0.21	-0.17	-0.11	0.11	-0.12	-0.24	0.07	-0.12	-0.18	0.15	0.2	0	-0.15	0.11	0.19	0.01	0.3	-0.01
"Ddx6"	0.01	0.1	0.22	-0.09	0.27	0.48	0.35	0.59	0.2	-0.48	0.21	0.48	-0.56	-0.18	-0.31	0.11	-0.27	-0.29	-0.01	-0.43	-0.12
"Ddx60"	-0.19	0.26	0.35	0.03	0.24	0.08	0.05	0.12	0.04	-0.2	0.1	0.12	-0.25	0.16	-0.13	-0.1	0.06	-0.29	0.29	-0.23	0.29
"Deaf1"	-0.19	0	-0.03	0.21	0.08	-0.04	-0.37	-0.3	-0.2	0.26	-0.02	-0.04	0.1	0.09	0.45	-0.13	-0.02	0.01	-0.04	0.08	0
"Deb1"	0.05	0.11	0.01	-0.07	-0.22	0.02	0.47	0.2	-0.33	-0.23	-0.07	0.05	-0.15	-0.08	-0.33	-0.1	0.04	0	-0.02	-0.04	-0.13
"Decr1"	0.24	-0.13	-0.53	0.06	-0.51	-0.59	-0.27	-0.56	-0.15	0.4	-0.44	-0.66	0.71	0.08	0.35	-0.21	0.33	0.57	-0.34	0.66	-0.14
"Decr2"	-0.03	-0.2	-0.52	0.2	-0.26	-0.65	-0.67	-0.8	-0.22	0.84	-0.46	-0.72	0.87	-0.01	0.64	-0.21	0.15	0.75	-0.35	0.77	-0.12
"Dedd"	0.14	-0.08	0.23	-0.25	0.13	0.62	0.6	0.58	0.19	-0.66	0.26	0.64	-0.66	-0.24	-0.54	0.16	-0.28	-0.51	0.08	-0.62	-0.09
"Dedd2"	-0.14	-0.21	0.12	0.07	0.25	0.08	-0.19	-0.25	-0.05	0.24	0.06	0.12	0.04	-0.21	0.13	0.25	-0.03	0.06	0.03	0.04	-0.02
"Def6"	-0.03	-0.13	-0.31	0.24	-0.13	-0.29	-0.4	-0.42	-0.29	0.48	-0.33	-0.38	0.47	0.07	0.57	-0.06	-0.02	0.52	-0.23	0.61	-0.03
"Def8"	-0.18	-0.02	-0.33	-0.04	-0.27	-0.42	-0.12	-0.26	-0.3	0.29	-0.35	-0.4	0.44	0.11	0.56	-0.03	0.14	0.24	-0.31	0.59	-0.14
"Degs1"	0	-0.28	-0.33	-0.08	-0.2	-0.45	-0.55	-0.49	-0.1	0.52	-0.32	-0.45	0.65	0.06	0.3	-0.07	0.32	0.54	-0.19	0.58	-0.05
"Dek"	0.06	0.03	-0.02	-0.24	-0.14	-0.01	0.63	0.44	-0.03	-0.47	-0.05	0	-0.28	0.02	-0.36	0.11	0.14	-0.06	-0.18	-0.17	-0.26
"Dennd1a"	0.06	-0.23	-0.44	-0.1	-0.23	-0.34	-0.64	-0.67	0.04	0.63	-0.33	-0.47	0.68	0.16	0.61	-0.14	0.12	0.57	-0.24	0.59	0
"Dennd1b"	-0.02	0.01	-0.01	0.09	-0.01	0.2	-0.26	0.06	0.2	0.18	0.06	0.12	0.03	-0.04	0.2	0	-0.35	0.07	-0.08	0.13	-0.03
"Dennd1c"	0.19	-0.09	-0.3	0.23	-0.28	-0.39	-0.14	-0.3	-0.06	0.44	-0.26	-0.41	0.46	-0.12	0.32	-0.19	-0.01	0.37	-0.24	0.33	-0.19
"Dennd2a"	0.02	-0.02	0.39	0.04	0.36	0.6	0.29	0.23	-0.07	-0.24	0.29	0.57	-0.47	-0.14	-0.3	0.05	-0.16	-0.39	0.31	-0.46	0.18
"Dennd2c"	0.06	-0.24	-0.6	0.05	-0.3	-0.51	-0.51	-0.67	-0.12	0.66	-0.55	-0.64	0.79	-0.01	0.71	-0.18	0.07	0.8	-0.47	0.81	-0.15
"Dennd2d"	-0.14	0.18	0.53	-0.01	0.28	0.42	0.56	0.65	0.1	-0.59	0.41	0.49	-0.74	-0.02	-0.54	0.07	-0.12	-0.7	0.36	-0.81	0.11
"Dennd3"	-0.09	0.22	0.44	-0.07	0.21	0.63	0.56	0.58	-0.12	-0.51	0.29	0.6	-0.75	-0.01	-0.32	-0.04	-0.24	-0.61	0.3	-0.63	0.14
